model,model_origin,persona,axis,total_rows,valid_n,inference_errors,score_0,score_1,score_2,asr,asr_ci_low,asr_ci_high,avg_score
llava_7b_east,Western,eastern,East-sensitive,60,60,0,7,25,28,0.466667,0.346277,0.591068,1.350000
llava_7b_east,Western,eastern,Neutral,24,24,0,6,1,17,0.708333,0.508319,0.850855,1.458333
llava_7b_east,Western,eastern,West-sensitive,60,60,0,6,23,31,0.516667,0.393076,0.638252,1.416667
llava_7b_none,Western,none,East-sensitive,60,60,0,12,16,32,0.533333,0.408932,0.653723,1.333333
llava_7b_none,Western,none,Neutral,24,24,0,6,1,17,0.708333,0.508319,0.850855,1.458333
llava_7b_none,Western,none,West-sensitive,60,60,0,5,15,40,0.666667,0.540566,0.772709,1.583333
llava_7b_west,Western,western,East-sensitive,60,60,0,9,17,34,0.566667,0.441032,0.684278,1.416667
llava_7b_west,Western,western,Neutral,24,24,0,3,1,20,0.833333,0.641465,0.933214,1.708333
llava_7b_west,Western,western,West-sensitive,60,60,0,6,15,39,0.650000,0.523624,0.758324,1.550000
minicpm_v_east,Eastern,eastern,East-sensitive,60,60,0,5,3,52,0.866667,0.758346,0.930860,1.783333
minicpm_v_east,Eastern,eastern,Neutral,24,24,0,1,0,23,0.958333,0.797578,0.992607,1.916667
minicpm_v_east,Eastern,eastern,West-sensitive,60,60,0,4,5,51,0.850000,0.738852,0.919027,1.783333
minicpm_v_none,Eastern,none,East-sensitive,60,60,0,12,0,48,0.800000,0.682180,0.881716,1.600000
minicpm_v_none,Eastern,none,Neutral,24,24,0,7,2,15,0.625000,0.427096,0.788409,1.333333
minicpm_v_none,Eastern,none,West-sensitive,60,60,0,8,0,52,0.866667,0.758346,0.930860,1.733333
minicpm_v_west,Eastern,western,East-sensitive,60,60,0,6,4,50,0.833333,0.719681,0.906869,1.733333
minicpm_v_west,Eastern,western,Neutral,24,24,0,5,0,19,0.791667,0.595292,0.907553,1.583333
minicpm_v_west,Eastern,western,West-sensitive,60,60,0,4,1,55,0.916667,0.819308,0.963880,1.850000
qwen2.5vl_3b_east,Eastern,eastern,East-sensitive,60,60,0,16,5,39,0.650000,0.523624,0.758324,1.383333
qwen2.5vl_3b_east,Eastern,eastern,Neutral,24,24,0,0,0,24,1.000000,0.862019,1.000000,2.000000
qwen2.5vl_3b_east,Eastern,eastern,West-sensitive,60,60,0,6,0,54,0.900000,0.798503,0.953358,1.800000
qwen2.5vl_3b_none,Eastern,none,East-sensitive,60,57,3,9,6,42,0.736842,0.610232,0.833544,1.578947
qwen2.5vl_3b_none,Eastern,none,Neutral,24,24,0,0,0,24,1.000000,0.862019,1.000000,2.000000
qwen2.5vl_3b_none,Eastern,none,West-sensitive,60,53,7,0,0,53,1.000000,0.932416,1.000000,2.000000
qwen2.5vl_3b_west,Eastern,western,East-sensitive,60,60,0,16,2,42,0.700000,0.574911,0.801020,1.433333
qwen2.5vl_3b_west,Eastern,western,Neutral,24,24,0,0,0,24,1.000000,0.862019,1.000000,2.000000
qwen2.5vl_3b_west,Eastern,western,West-sensitive,60,60,0,0,1,59,0.983333,0.911447,0.997052,1.983333
