model,n,ocr_sim_mean,ocr_sim_median,ocr_sim_ge_0_8,concept_contained
cogvlm2_east,48,0.6829,0.9352,32,47
cogvlm2_none,48,0.8571,1.0,42,47
cogvlm2_west,48,0.657,0.9263,31,48
deepseek_east,48,0.1385,0.017,0,4
deepseek_none,48,0.2188,0.0294,1,8
deepseek_west,48,0.1863,0.0205,0,7
glm_east,48,0.2619,0.1637,0,46
glm_none,48,0.2528,0.1608,0,48
glm_west,48,0.2492,0.1583,0,48
internvl_east,48,0.9165,1.0,44,42
internvl_none,48,1.0,1.0,48,48
internvl_west,48,0.9998,1.0,48,46
molmo_east,48,0.9989,1.0,48,42
molmo_none,48,0.9935,1.0,47,40
molmo_west,48,0.9981,1.0,48,38
phi_east,48,0.3445,0.0405,12,10
phi_none,48,0.9983,1.0,48,48
phi_west,48,0.7587,1.0,35,36
