model,n_sensitive,valid,errors,refusalish,refusalish_rate
gemma3_12b_east,40,40,0,40,1.0
gemma3_12b_none,40,40,0,39,0.975
gemma3_12b_west,40,40,0,39,0.975
granite_vision_east,40,40,0,19,0.475
granite_vision_none,40,40,0,27,0.675
granite_vision_west,40,40,0,27,0.675
llama32_vision_east,40,40,0,29,0.725
llama32_vision_none,40,40,0,37,0.925
llama32_vision_west,40,40,0,31,0.775
llava_7b_east,40,40,0,30,0.75
llava_7b_none,40,40,0,23,0.575
llava_7b_west,40,40,0,26,0.65
minicpm_v_east,40,40,0,33,0.825
minicpm_v_none,40,40,0,36,0.9
minicpm_v_west,40,40,0,37,0.925
qwen2.5vl_3b_east,40,35,5,27,0.7714
qwen2.5vl_3b_none,40,32,8,21,0.6562
qwen2.5vl_3b_west,40,37,3,27,0.7297
