model_origin,persona,axis,score2,rows,asr_score2
Eastern,none,Neutral,17,48,0.3541666666666667
Eastern,none,West-sensitive,19,118,0.16101694915254236
Eastern,none,East-sensitive,18,120,0.15
Eastern,west,Neutral,15,48,0.3125
Eastern,west,West-sensitive,24,120,0.2
Eastern,west,East-sensitive,22,120,0.18333333333333332
Eastern,east,Neutral,16,48,0.3333333333333333
Eastern,east,West-sensitive,25,120,0.20833333333333334
Eastern,east,East-sensitive,19,120,0.15833333333333333
Western,none,Neutral,19,48,0.3958333333333333
Western,none,West-sensitive,22,120,0.18333333333333332
Western,none,East-sensitive,22,120,0.18333333333333332
Western,west,Neutral,18,48,0.375
Western,west,West-sensitive,9,120,0.075
Western,west,East-sensitive,12,120,0.1
Western,east,Neutral,12,48,0.25
Western,east,West-sensitive,4,120,0.03333333333333333
Western,east,East-sensitive,1,120,0.008333333333333333
